Province,pop2019,lat,lon,state
California,"39,512,223",36.531544,-119.586168,CA
Texas,"28,995,881",31.030974,-98.326329,TX
Florida,"21,477,737",27.97762,-81.769611,FL
New York,"19,453,561",42.165726,-74.948051,NY
Pennsylvania,"12,801,989",40.860198,-77.838617,PA
Illinois,"12,671,821",40.265028,-89.191575,IL
Ohio,"11,689,100",40.262259,-82.883453,OH
Georgia,"10,617,423",32.53951,-83.380775,GA
North Carolina,"10,488,084",35.387362,-78.455056,NC
Michigan,"9,986,857",43.924812,-84.633107,MI
New Jersey,"8,882,190",39.66502,-74.738208,NJ
Virginia,"8,535,519",37.73086,-78.376655,VA
Washington,"7,614,893",47.372269,-120.59234,WA
Arizona,"7,278,717",34.255149,-111.62621,AZ
Massachusetts,"6,892,503",42.358752,-71.531484,MA
Tennessee,"6,829,174",35.820245,-86.343764,TN
Indiana,"6,732,219",39.904493,-86.250281,IN
Missouri,"6,137,428",38.353141,-92.747022,MO
Maryland,"6,045,680",39.038828,-76.346717,MD
Wisconsin,"5,822,434",44.356004,-89.466198,WI
Colorado,"5,758,736",38.996664,-105.547822,CO
Minnesota,"5,639,632",46.63636,-94.579641,MN
South Carolina,"5,148,714",33.702857,-80.627523,SC
Alabama,"4,903,185",32.688053,-86.810585,AL
Louisiana,"4,648,794",30.542601,-92.51441,LA
Kentucky,"4,467,673",37.696825,-84.924095,KY
Oregon,"4,217,737",43.854178,-120.526709,OR
Oklahoma,"3,956,971",35.455622,-97.508021,OK
Connecticut,"3,565,287",41.580163,-72.756629,CT
Utah,"3,205,958",39.098999,-111.878816,UT
Puerto Rico,"3,193,694",#N/A,#N/A,#N/A
Iowa,"3,155,070",42.039943,-93.500069,IA
Nevada,"3,080,156",39.440688,-116.598569,NV
Arkansas,"3,017,804",34.755883,-92.640559,AR
Mississippi,"2,976,149",32.921921,-89.687118,MS
Kansas,"2,913,314",38.500327,-98.380429,KS
New Mexico,"2,096,829",34.498624,-106.108278,NM
Nebraska,"1,934,408",41.499671,-99.810075,NE
West Virginia,"1,792,147",38.720281,-80.649428,WV
Idaho,"1,787,065",43.764877,-114.964267,ID
Hawaii,"1,415,872",24.200987,-104.313994,HI
New Hampshire,"1,359,711",43.644386,-71.586283,NH
Maine,"1,344,212",45.243327,-69.171071,ME
Montana,"1,068,778",47.001265,-109.645406,MT
Rhode Island,"1,059,361",41.587536,-71.514739,RI
Delaware,"973,764",38.978849,-75.46014,DE
South Dakota,"884,659",44.470716,-100.229958,SD
North Dakota,"762,062",47.471495,-100.469096,ND
Alaska,"731,545",28.12768,-117.981766,AK
District of Columbia,"705,749",38.912097,-77.014683,DC
Vermont,"623,989",44.211857,-72.681238,VT
Wyoming,"578,759",43.001645,-107.55153,WY
Guam,"165,718",13.481,144.732,GU
U.S. Virgin Islands,"104,914",#N/A,#N/A,#N/A
American Samoa,"55,641",#N/A,#N/A,#N/A
Northern Mariana Islands,"55,194",#N/A,#N/A,#N/A
